value,color
Aero,#3957ff
Airbus,#d3fe14
Alenia,#c9080a
Amiot,#fec7f8
Antonov,#0b7b3e
Armstrong,#0bf0e9
ATECO,#c203c8
ATR,#fd9b39
ATR-72-212A,#888593
Avia,#906407
Aviation,#98ba7f
Avro,#fe6794
Aérospatiale,#10b0ff
BAC,#ac7bff
Beechcraft,#fee7c0
Boeing,#964c63
Bombardier,#1da49c
Breguet,#0ad811
Bristol,#bbd9fd
British,#fe6cfe
Britten-Norman,#297192
Bushmaster,#d1a09c
Canadair,#78579e
Canadian,#81ffad
CASA,#739400
CASA/IPTN,#ca6949
CASA/Nurtanio,#d9bf01
Cessna,#646a58
Consolidated,#d5097e
Convair,#bb73a9
Curtiss,#ccf6e9
Dassault,#9cb4b6
de,#b6a7d4
Dewoitine,#9e8c62
Dornier,#6e83c8
Douglas,#01af64
Eclipse,#a71afd
Embraer,#cfe589
Fairchild,#d4ccd1
Fiat,#fd4109
Focke-Wulf,#bf8f0e
Fokker,#2f786e
Ford,#4ed1a5
GAF,#d8bb7d
Grob,#a54509
Grumman,#6a9276
Gulfstream,#a4777a
HAL/Dornier,#fc12c9
Handley,#606f15
Harbin,#3cc4d9
Hawker,#f31c4e
Hindustan,#73616f
Howard,#f097c6
IAI,#fc8772
Ilyushin,#92a6fe
IPTN/CASA,#875b44
IRMA/Britten-Norman,#699ab3
IRMA/Pilatus,#94bc19
Junkers,#7d5bf0
Kaiser-Frazer,#d24dfe
Kawasaki,#c85b74
Latécoère,#68ff57
Learjet,#b62347
Let,#994b91
Lisunov,#646b8c
Lockheed,#977ab4
Martin,#d694fd
MBB,#c4d5b5
McDonnell,#fdc4bd
McDonnell-Douglas,#1cae05
Mitusbishi,#7bd972
Morane,#e9700a
NAMC,#d08f5d
Nord,#8bb9e1
North,#fde945
Piaggio,#a29d98
Pilatus,#1682fb
PZL-Mielec,#9ad9e0
Rausch,#d6cafe
Raytheon,#8d8328
Reims,#b091a7
Rockwell,#647579
SAAB,#1f8d11
Saab,#e7eafd
Savoia-Marchetti,#b9660b
Scottish,#a4a644
Shaanxi,#fec24c
Short,#b1168c
Shorts,#188cc1
Sikorsky,#7ab297
SNCAC,#4468ae
SNCASE,#c949a6
Sud,#d48295
Sud-Aviation,#eb6dc2
Swearingen,#d5b0cb
Transall,#ff9ffb
Tupolev,#fdb082
VEB,#af4d44
Vickers,#a759c4
Viking,#a9e03a
Volpar,#0d906b
Yakovlev,#9ee3bd
